x y Depth Vs
457.3858 284.1479 18.2 3.711
457.3858 284.1479 18.3 3.711
457.3858 284.1479 18.4 3.711
457.3858 284.1479 18.5 3.711
457.3858 284.1479 18.6 3.711
457.3858 284.1479 18.7 3.711
457.3858 284.1479 18.8 3.711
457.3858 284.1479 18.9 3.711
457.3858 284.1479 19.0 3.711
457.3858 284.1479 19.1 3.711
457.3858 284.1479 19.2 3.711
457.3858 284.1479 19.3 3.711
457.3858 284.1479 19.4 3.711
457.3858 284.1479 19.5 3.711
457.3858 284.1479 19.6 3.711
457.3858 284.1479 19.7 3.711
457.3858 284.1479 19.8 3.711
457.3858 284.1479 19.9 3.711
457.3858 284.1479 20.0 3.711
457.3858 284.1479 20.1 3.711
457.3858 284.1479 20.2 3.711
457.3858 284.1479 20.3 3.711
457.3858 284.1479 20.4 3.711
457.3858 284.1479 20.5 3.756
457.3858 284.1479 20.6 3.756
457.3858 284.1479 20.7 3.756
457.3858 284.1479 20.8 3.756
457.3858 284.1479 20.9 3.756
457.3858 284.1479 21.0 3.756
457.3858 284.1479 21.1 3.756
457.3858 284.1479 21.2 3.756
457.3858 284.1479 21.3 3.756
457.3858 284.1479 21.4 3.756
457.3858 284.1479 21.5 3.756
457.3858 284.1479 21.6 3.756
457.3858 284.1479 21.7 3.756
457.3858 284.1479 21.8 3.756
457.3858 284.1479 21.9 3.756
457.3858 284.1479 22.0 3.756
457.3858 284.1479 22.1 3.756
457.3858 284.1479 22.2 3.756
457.3858 284.1479 22.3 3.756
457.3858 284.1479 22.4 3.756
457.3858 284.1479 22.5 3.756
457.3858 284.1479 22.6 3.756
457.3858 284.1479 22.7 3.756
457.3858 284.1479 22.8 3.756
457.3858 284.1479 22.9 3.756
457.3858 284.1479 23.0 3.756
457.3858 284.1479 23.1 3.756
457.3858 284.1479 23.2 3.756
457.3858 284.1479 23.3 3.756
457.3858 284.1479 23.4 3.756
457.3858 284.1479 23.5 3.756
457.3858 284.1479 23.6 3.756
457.3858 284.1479 23.7 3.756
457.3858 284.1479 23.8 3.756
457.3858 284.1479 23.9 3.756
457.3858 284.1479 24.0 3.756
457.3858 284.1479 24.1 3.756
457.3858 284.1479 24.2 3.756
457.3858 284.1479 24.3 3.756
457.3858 284.1479 24.4 3.756
457.3858 284.1479 24.5 3.756
457.3858 284.1479 24.6 3.756
457.3858 284.1479 24.7 3.756
457.3858 284.1479 24.8 3.756
457.3858 284.1479 24.9 3.756
457.3858 284.1479 25.0 3.756
457.3858 284.1479 25.1 3.756
457.3858 284.1479 25.2 3.756
457.3858 284.1479 25.3 3.756
457.3858 284.1479 25.4 3.756
457.3858 284.1479 25.5 3.756
457.3858 284.1479 25.6 3.756
457.3858 284.1479 25.7 3.756
457.3858 284.1479 25.8 3.756
457.3858 284.1479 25.9 3.756
457.3858 284.1479 26.0 3.756
457.3858 284.1479 26.1 3.756
457.3858 284.1479 26.2 3.756
457.3858 284.1479 26.3 3.756
457.3858 284.1479 26.4 3.756
457.3858 284.1479 26.5 3.756
457.3858 284.1479 26.6 3.756
457.3858 284.1479 26.7 3.756
457.3858 284.1479 26.8 3.756
457.3858 284.1479 26.9 3.756
457.3858 284.1479 27.0 3.756
457.3858 284.1479 27.1 3.756
457.3858 284.1479 27.2 3.756
457.3858 284.1479 27.3 3.756
457.3858 284.1479 27.4 3.756
457.3858 284.1479 27.5 3.756
457.3858 284.1479 27.6 3.756
457.3858 284.1479 27.7 3.756
457.3858 284.1479 27.8 3.756
457.3858 284.1479 27.9 3.756
457.3858 284.1479 28.0 3.756
457.3858 284.1479 28.1 3.756
457.3858 284.1479 28.2 3.756
457.3858 284.1479 28.3 3.756
457.3858 284.1479 28.4 3.756
457.3858 284.1479 28.5 3.756
457.3858 284.1479 28.6 3.756
457.3858 284.1479 28.7 3.756
457.3858 284.1479 28.8 3.756
457.3858 284.1479 28.9 3.756
457.3858 284.1479 29.0 3.756
457.3858 284.1479 29.1 3.756
457.3858 284.1479 29.2 3.756
457.3858 284.1479 29.3 3.756
457.3858 284.1479 29.4 3.756
457.3858 284.1479 29.5 3.756
