,Scale,NNb,RMSE
183,6.0,68.0,0.041096108540781155
184,6.0,70.0,0.04143470975743082
185,6.0,72.0,0.04176923942701657
186,6.0,74.0,0.04210244269109662
187,6.0,76.0,0.04242580563651393
188,6.0,78.0,0.04272185898528078
189,6.0,80.0,0.04301992618143165
190,6.0,82.0,0.0433336498110645
191,6.0,84.0,0.043621239525488326
192,6.0,86.0,0.043903583088317384
193,6.0,88.0,0.04419352577397827
194,6.0,90.0,0.04447293384529947
195,6.0,92.0,0.044738044208994666
196,6.0,94.0,0.04501106706939936
197,6.0,96.0,0.04528156061358096
198,6.0,98.0,0.045544088434256336
199,6.0,100.0,0.045799560339040285
200,6.0,102.0,0.046056998986343606
201,6.0,104.0,0.04631355229714979
202,6.0,106.0,0.04656479705857313
203,6.0,108.0,0.04681089321206221
204,6.0,110.0,0.04705589470673178
205,6.0,112.0,0.047295776255488094
206,6.0,114.0,0.047536591449463206
207,6.0,116.0,0.04777571592801298
208,6.0,118.0,0.04801176960230654
209,6.0,120.0,0.048255882167048146
210,6.0,122.0,0.048501023920906335
211,6.0,124.0,0.0487360016196744
212,6.0,126.0,0.04896882228150351
213,6.0,128.0,0.049198085490103426
214,6.0,130.0,0.049430504166828336
215,6.0,132.0,0.04965913104312361
216,6.0,134.0,0.04988954164635357
217,6.0,136.0,0.050114539718594614
218,6.0,138.0,0.05034489139756898
219,6.0,140.0,0.05057777064408914
220,6.0,142.0,0.05080370465687591
221,6.0,144.0,0.05103130602112727
222,6.0,146.0,0.05126174692155842
223,6.0,148.0,0.0514928646876134
224,6.0,150.0,0.05173030289335018
225,8.0,2.0,0.019997299834790424
226,8.0,4.0,0.021238297464774986
227,8.0,6.0,0.022219487162740744
228,8.0,8.0,0.02354453641237669
229,8.0,10.0,0.02458187770958891
230,8.0,12.0,0.025547437515785705
231,8.0,14.0,0.026379006626861157
232,8.0,16.0,0.02721056994402192
233,8.0,18.0,0.02798342810749523
234,8.0,20.0,0.028730832632777027
235,8.0,22.0,0.029456848236018334
236,8.0,24.0,0.030144199395921355
237,8.0,26.0,0.03081916933130232
238,8.0,28.0,0.031481648026638866
239,8.0,30.0,0.03209874791907719
240,8.0,32.0,0.0327390797154828
241,8.0,34.0,0.0333478910893061
242,8.0,36.0,0.03392574834577304
243,8.0,38.0,0.034509829699225905
244,8.0,40.0,0.03506359147073525
245,8.0,42.0,0.03560287700183778
246,8.0,44.0,0.0361303749989307
247,8.0,46.0,0.0366142991528226
248,8.0,48.0,0.03708630629221781
249,8.0,50.0,0.03755284702962348
250,8.0,52.0,0.03800455040196588
251,8.0,54.0,0.03844133388779337
252,8.0,56.0,0.03885993928260516
253,8.0,58.0,0.03927157629552906
254,8.0,60.0,0.03966238845474983
255,8.0,62.0,0.04004089078085177
256,8.0,64.0,0.04042698476808499
257,8.0,66.0,0.04080299790310268
258,8.0,68.0,0.04115910168241021
259,8.0,70.0,0.04150848575119275
260,8.0,72.0,0.041851527558428483
261,8.0,74.0,0.042191815508162776
262,8.0,76.0,0.042520766656524815
263,8.0,78.0,0.042835942736687914
264,8.0,80.0,0.04314579081456333
265,8.0,82.0,0.04346304653130615
266,8.0,84.0,0.04376554888875792
267,8.0,86.0,0.04405791306101088
268,8.0,88.0,0.04435508489814501
269,8.0,90.0,0.044644665778233866
270,8.0,92.0,0.044924027250931566
271,8.0,94.0,0.04522281315097794
272,8.0,96.0,0.04552260725244087
273,8.0,98.0,0.04581433103791789
274,8.0,100.0,0.04611227133172373
275,8.0,102.0,0.04641004870736569
276,8.0,104.0,0.046710131361915735
277,8.0,106.0,0.04700607036691701
278,8.0,108.0,0.04729861345583571
279,8.0,110.0,0.0475934424088567
280,8.0,112.0,0.04789217829946322
281,8.0,114.0,0.048198783043706936
282,8.0,116.0,0.048497020453507775
283,8.0,118.0,0.04879694524851538
284,8.0,120.0,0.04909992336792074
285,8.0,122.0,0.049407994717454606
286,8.0,124.0,0.04970770189228151
287,8.0,126.0,0.05001679660188476
288,8.0,128.0,0.05032327700565858
289,8.0,130.0,0.05061733720999695
290,8.0,132.0,0.05091824756643358
291,8.0,134.0,0.05121309256857583
292,8.0,136.0,0.05150393866250457
293,8.0,138.0,0.051793028671225864
294,8.0,140.0,0.052085670545327166
295,8.0,142.0,0.05235278111619196
296,8.0,144.0,0.05261978601077472
297,8.0,146.0,0.05288279212692611
298,8.0,148.0,0.0531386100961084
299,8.0,150.0,0.05338612628869137
300,10.0,2.0,0.019936054031171917
301,10.0,4.0,0.02126573814436317
302,10.0,6.0,0.02226195067932073
303,10.0,8.0,0.023541204989113086
304,10.0,10.0,0.024634290438730742
305,10.0,12.0,0.02552355078352336
306,10.0,14.0,0.026395206018375268
307,10.0,16.0,0.02723056735519009
308,10.0,18.0,0.027999953639704974
309,10.0,20.0,0.02871028159926755
310,10.0,22.0,0.029423441127228448
311,10.0,24.0,0.03015084291444224
312,10.0,26.0,0.030825919182599613
313,10.0,28.0,0.03147690459155541
314,10.0,30.0,0.03209778644760218
315,10.0,32.0,0.032730110321061275
316,10.0,34.0,0.033347806032797044
317,10.0,36.0,0.03392261696434385
318,10.0,38.0,0.03449271777095693
319,10.0,40.0,0.03505745295750301
320,10.0,42.0,0.035601569056837735
321,10.0,44.0,0.036123065367692594
322,10.0,46.0,0.036625635559963725
323,10.0,48.0,0.037105227041690926
324,10.0,50.0,0.037590561786270606
325,10.0,52.0,0.03804856536699311
326,10.0,54.0,0.03849437619874937
327,10.0,56.0,0.038925561859838385
328,10.0,58.0,0.03934749944534422
329,10.0,60.0,0.03975556418116642
330,10.0,62.0,0.04014174014617027
331,10.0,64.0,0.04054748761358969
332,10.0,66.0,0.04093386791712205
333,10.0,68.0,0.04129970503809702
334,10.0,70.0,0.041663123160908956
335,10.0,72.0,0.04202953085666866
336,10.0,74.0,0.04240465615662334
337,10.0,76.0,0.04276990798407079
338,10.0,78.0,0.04312154914288023
339,10.0,80.0,0.043480987089549
340,10.0,82.0,0.043871060584726056
341,10.0,84.0,0.04425306964483524
342,10.0,86.0,0.04463335390389132
343,10.0,88.0,0.04501486151731893
344,10.0,90.0,0.045379853139111304
345,10.0,92.0,0.045738357112400374
346,10.0,94.0,0.04612297307895462
347,10.0,96.0,0.04650807525182626
348,10.0,98.0,0.04687175626694247
349,10.0,100.0,0.04724009780052401
350,10.0,102.0,0.04762243268503385
351,10.0,104.0,0.0479939054088814
352,10.0,106.0,0.04837486654695988
353,10.0,108.0,0.04874858694490053
354,10.0,110.0,0.0491092973676674
355,10.0,112.0,0.04945649909854672
356,10.0,114.0,0.049797651786166415
357,10.0,116.0,0.05012476656060568
358,10.0,118.0,0.050449393806824935
359,10.0,120.0,0.05078314419384083
360,10.0,122.0,0.051089718951352746
361,10.0,124.0,0.05140493378152977
362,10.0,126.0,0.05171761539088329
363,10.0,128.0,0.052040466911172756
364,10.0,130.0,0.05235085688041576
365,10.0,132.0,0.05266112075386298
366,10.0,134.0,0.05297805885813759
367,10.0,136.0,0.05328992892506394
368,10.0,138.0,0.05360534507601311
369,10.0,140.0,0.05391169280233232
370,10.0,142.0,0.054221984834617015
371,10.0,144.0,0.05453660767411282
372,10.0,146.0,0.05484736956855071
373,10.0,148.0,0.05516212109377083
374,10.0,150.0,0.0554900009543566
375,12.0,2.0,0.020216784122700074
376,12.0,4.0,0.02116274503594751
377,12.0,6.0,0.02238634782444256
378,12.0,8.0,0.02355395883198653
379,12.0,10.0,0.024522430272369795
380,12.0,12.0,0.025573812916626387
381,12.0,14.0,0.026352392143374256
382,12.0,16.0,0.027191915965338542
383,12.0,18.0,0.02796739677563327
384,12.0,20.0,0.028691941898606868
385,12.0,22.0,0.029446302016945414
386,12.0,24.0,0.030126674067513827
387,12.0,26.0,0.030812498943737325
388,12.0,28.0,0.03145791750034367
389,12.0,30.0,0.03208678283609177
390,12.0,32.0,0.032717167624252995
391,12.0,34.0,0.03333070423904539
392,12.0,36.0,0.03390730369947475
393,12.0,38.0,0.03450145760853579
394,12.0,40.0,0.03506555686843543
395,12.0,42.0,0.0356301729605167
396,12.0,44.0,0.0361744352866301
397,12.0,46.0,0.036681153435245153
398,12.0,48.0,0.03717920836003327
399,12.0,50.0,0.03767701318325169
400,12.0,52.0,0.0381496658510092
401,12.0,54.0,0.038617628591501654
402,12.0,56.0,0.039066925042545476
403,12.0,58.0,0.03950950637572458
404,12.0,60.0,0.039935280648429536
405,12.0,62.0,0.040382033769546764
406,12.0,64.0,0.040847532960491616
407,12.0,66.0,0.04131530362609621
408,12.0,68.0,0.041776735967437334
409,12.0,70.0,0.042238881301590404
410,12.0,72.0,0.042701739292400225
411,12.0,74.0,0.04317731181032743
412,12.0,76.0,0.04366182025935905
413,12.0,78.0,0.044132187787093866
414,12.0,80.0,0.04459128175658032
415,12.0,82.0,0.04505385937444759
416,12.0,84.0,0.04551426797540235
417,12.0,86.0,0.04599599207965675
418,12.0,88.0,0.04645298103333383
419,12.0,90.0,0.04689019416198883
420,12.0,92.0,0.047304904109889016
421,12.0,94.0,0.04773678772093306
422,12.0,96.0,0.04812806740257095
423,12.0,98.0,0.048512086129913666
424,12.0,100.0,0.04888510976700836
425,12.0,102.0,0.049260339622621885
426,12.0,104.0,0.04964408436226673
427,12.0,106.0,0.050010971985582374
428,12.0,108.0,0.05039886609930477
429,12.0,110.0,0.05077795823261506
430,12.0,112.0,0.05113103171632963
431,12.0,114.0,0.05150917222721483
432,12.0,116.0,0.05188941602946656
433,12.0,118.0,0.052252301768222265
434,12.0,120.0,0.05264457340905577
435,12.0,122.0,0.053036207820960586
436,12.0,124.0,0.0534291078207279
437,12.0,126.0,0.05382377918967585
438,12.0,128.0,0.05422435780607
439,12.0,130.0,0.0546247944695749
440,12.0,132.0,0.05504583120302609
441,12.0,134.0,0.055479135262182996
442,12.0,136.0,0.05590841573329888
443,12.0,138.0,0.056351779023263146
444,12.0,140.0,0.0567932400222839
445,12.0,142.0,0.05722370942843408
446,12.0,144.0,0.057669386481553404
447,12.0,146.0,0.05810195871492577
448,12.0,148.0,0.05853279929395415
449,12.0,150.0,0.05895722952208713
450,14.0,2.0,0.02031900330734883
451,14.0,4.0,0.020976361189702402
452,14.0,6.0,0.022304704064176936
453,14.0,8.0,0.023576941972705132
454,14.0,10.0,0.024523999264409953
455,14.0,12.0,0.02557458823228669
456,14.0,14.0,0.026363945359361134
457,14.0,16.0,0.027218867311555175
458,14.0,18.0,0.028003905736735935
459,14.0,20.0,0.028727795753537087
460,14.0,22.0,0.02944674144320087
461,14.0,24.0,0.030126155145213353
462,14.0,26.0,0.03079098917964607
463,14.0,28.0,0.03144269666571034
464,14.0,30.0,0.03208750192203398
465,14.0,32.0,0.03273598214835673
466,14.0,34.0,0.03334886475370454
467,14.0,36.0,0.03394068279576166
468,14.0,38.0,0.03454628658011198
469,14.0,40.0,0.03513416167637609
470,14.0,42.0,0.035693700912558204
471,14.0,44.0,0.036248166295231414
472,14.0,46.0,0.036777345588897566
473,14.0,48.0,0.037296735857935144
474,14.0,50.0,0.03783263042875795
475,14.0,52.0,0.038352281037245216
476,14.0,54.0,0.03888255947015881
477,14.0,56.0,0.039420205505455545
478,14.0,58.0,0.039991575947117726
479,14.0,60.0,0.040565718284370667
480,14.0,62.0,0.04114762164350164
481,14.0,64.0,0.04172241828099109
482,14.0,66.0,0.04230127986677988
483,14.0,68.0,0.0428574860453104
484,14.0,70.0,0.04342885483645621
485,14.0,72.0,0.04398033280905401
486,14.0,74.0,0.04454413774284641
487,14.0,76.0,0.045063740366330034
488,14.0,78.0,0.04557018239037684
489,14.0,80.0,0.04608371226440598
490,14.0,82.0,0.04658008011490421
491,14.0,84.0,0.04704691693248124
492,14.0,86.0,0.04751227317948095
493,14.0,88.0,0.047957949321349023
494,14.0,90.0,0.04837910359381236
495,14.0,92.0,0.04880329501337105
496,14.0,94.0,0.04924829040766545
497,14.0,96.0,0.049683538740436746
498,14.0,98.0,0.05010820605823151
499,14.0,100.0,0.05054305497237812
500,14.0,102.0,0.050989949462926266
501,14.0,104.0,0.0514427006201099
502,14.0,106.0,0.05191100988303828
503,14.0,108.0,0.05238948062716301
504,14.0,110.0,0.05287781752513687
505,14.0,112.0,0.05338285104608794
506,14.0,114.0,0.05390314554587822
507,14.0,116.0,0.054431508831795844
508,14.0,118.0,0.054967990527382285
509,14.0,120.0,0.05549841615527776
510,14.0,122.0,0.05604205263842336
511,14.0,124.0,0.05656776029253724
512,14.0,126.0,0.05709761301221337
513,14.0,128.0,0.057631155160610195
514,14.0,130.0,0.05813235783708831
515,14.0,132.0,0.05862580018272526
516,14.0,134.0,0.0591359419853697
517,14.0,136.0,0.059646257025154276
518,14.0,138.0,0.060145453269047196
519,14.0,140.0,0.06062819974656135
520,14.0,142.0,0.06109891884947355
521,14.0,144.0,0.06157471862680446
522,14.0,146.0,0.06205808522693476
523,14.0,148.0,0.06250952519538519
524,14.0,150.0,0.06297892255449587
525,16.0,2.0,0.019850254441206222
526,16.0,4.0,0.021105567680596782
527,16.0,6.0,0.022161967426534892
528,16.0,8.0,0.02349523080779447
529,16.0,10.0,0.024515775445479733
530,16.0,12.0,0.025548276288648947
531,16.0,14.0,0.026428562700684076
532,16.0,16.0,0.027263505825349095
533,16.0,18.0,0.028017309395894682
534,16.0,20.0,0.02872991731998826
535,16.0,22.0,0.0294353711447897
536,16.0,24.0,0.03011859245920963
